time,type,amount
2017/1/1 0:00,SE,729.64
2017/1/1 0:05,SE,1465.15
2017/1/1 0:10,SE,1456.07
2017/1/1 0:15,SE,1764.28
2017/1/1 0:20,SE,1827.8
2017/1/1 0:25,SE,689.82
2017/1/1 0:30,SE,1088.74
2017/1/1 0:35,SE,931.05
2017/1/1 0:40,SE,807.87
2017/1/1 0:45,SE,1595.64
2017/1/1 0:50,SE,5.51
2017/1/1 0:55,SE,135.51
2017/1/1 1:00,SE,346.03
2017/1/1 1:05,SE,1027.49
2017/1/1 1:10,RE,
2017/1/1 1:10,SE,379.36
2017/1/1 1:15,SE,556.28
2017/1/1 1:20,SE,2613.43
2017/1/1 1:25,SE,453.49
2017/1/1 1:30,SE,283.15
2017/1/1 1:35,SE,107.77
2017/1/1 1:40,SE,1509.37
2017/1/1 1:45,SE,1390.04
2017/1/1 1:50,SE,857.79
2017/1/1 1:55,SE,93.86
2017/1/1 2:00,SE,93.86
2017/1/1 2:05,SE,2423.42
2017/1/1 2:10,SE,1529.53
2017/1/1 2:15,SE,1280.99
2017/1/1 2:20,RE,200
2017/1/1 2:20,SE,9.75
2017/1/1 2:25,SE,513.84
2017/1/1 2:30,SE,294.74
2017/1/1 2:35,SE,620.75
2017/1/1 2:40,SE,299.54
2017/1/1 2:45,SE,108.15
2017/1/1 2:50,SE,7.99
2017/1/1 2:55,SE,187.72
2017/1/1 3:00,SE,1377.05
2017/1/1 3:05,SE,149.87
2017/1/1 3:10,SE,1.88
2017/1/1 3:20,SE,20.18
2017/1/1 3:25,SE,62.89
2017/1/1 3:35,SE,8.89
2017/1/1 3:40,SE,5.2
2017/1/1 3:45,SE,50.02
2017/1/1 3:50,SE,30.25
2017/1/1 3:55,SE,17.74
2017/1/1 4:00,SE,9.84
2017/1/1 4:15,SE,8.89
2017/1/1 4:20,SE,111.67
2017/1/1 4:25,SE,245.62
2017/1/1 4:30,SE,2.96
2017/1/1 4:35,SE,93.86
2017/1/1 4:55,SE,10.09
2017/1/1 5:10,SE,231.17
2017/1/1 5:20,SE,2.94
2017/1/1 5:30,SE,9.46
2017/1/1 5:35,SE,93.86
2017/1/1 5:40,SE,424.56
2017/1/1 5:45,SE,227.24
2017/1/1 6:00,SE,6.16
2017/1/1 6:05,SE,3.16
2017/1/1 6:15,SE,4.58
2017/1/1 6:20,SE,93.86
2017/1/1 6:25,SE,99.59
2017/1/1 6:45,SE,3.95
2017/1/1 6:50,SE,6.17
2017/1/1 6:55,SE,102.04
2017/1/1 7:00,SE,29.59
2017/1/1 7:10,SE,30.79
2017/1/1 7:15,SE,110.86
2017/1/1 7:30,SE,48.18
2017/1/1 7:35,SE,425.7
2017/1/1 7:40,SE,195.43
2017/1/1 7:45,SE,93.86
2017/1/1 7:55,SE,36.56
2017/1/1 8:00,SE,93.86
2017/1/1 8:05,SE,108.72
2017/1/1 8:10,SE,93.86
2017/1/1 8:15,SE,33.19
2017/1/1 8:25,SE,93.86
2017/1/1 8:30,SE,138.27
2017/1/1 8:35,SE,176.91
2017/1/1 8:40,SE,249.04
2017/1/1 8:45,SE,199.84
2017/1/1 8:50,SE,492.31
2017/1/1 8:55,SE,93.86
2017/1/1 9:00,SE,105.98
2017/1/1 9:05,SE,117.46
2017/1/1 9:10,SE,187.72
2017/1/1 9:15,SE,95.84
2017/1/1 9:20,SE,307.57
2017/1/1 9:25,SE,592.7
2017/1/1 9:30,SE,349.6
2017/1/1 9:35,SE,385.32
2017/1/1 9:40,SE,223.7
2017/1/1 9:45,SE,220.32
2017/1/1 9:50,SE,631.89
2017/1/1 9:55,SE,234.16
2017/1/1 10:00,SE,682.69
2017/1/1 10:05,SE,343.82
2017/1/1 10:15,SE,494.35
2017/1/1 10:20,SE,187.72
2017/1/1 10:25,SE,211.43
2017/1/1 10:30,SE,171.91
2017/1/1 10:35,SE,171.91
2017/1/1 10:40,SE,226.06
2017/1/1 10:45,SE,819.37
2017/1/1 10:50,SE,583.5
2017/1/1 10:55,SE,130.42
2017/1/1 11:00,SE,31.49
2017/1/1 11:05,SE,93.86
2017/1/1 11:10,SE,7.76
2017/1/1 11:15,SE,395.57
2017/1/1 11:20,SE,281.58
2017/1/1 11:25,SE,171.91
2017/1/1 11:30,SE,357.01
2017/1/1 11:35,SE,348.8
2017/1/1 11:40,SE,326.92
2017/1/1 11:45,SE,121.29
2017/1/1 11:50,SE,199.4
2017/1/1 11:55,SE,262.74
2017/1/1 12:00,SE,187.72
2017/1/1 12:05,SE,644.18
2017/1/1 12:10,SE,93.86
2017/1/1 12:20,SE,577.98
2017/1/1 12:25,SE,730.13
2017/1/1 12:30,SE,383.3
2017/1/1 12:35,SE,187.72
2017/1/1 12:40,SE,246.27
2017/1/1 12:50,SE,511.78
2017/1/1 12:55,SE,211.43
2017/1/1 13:00,SE,22.51
2017/1/1 13:10,SE,312.46
2017/1/1 13:15,SE,694.55
2017/1/1 13:20,SE,187.72
2017/1/1 13:25,SE,93.86
2017/1/1 13:30,SE,359.61
2017/1/1 13:35,SE,353.95
2017/1/1 13:40,SE,93.86
2017/1/1 13:45,SE,189.55
2017/1/1 13:50,SE,187.72
2017/1/1 13:55,SE,93.86
2017/1/1 14:00,SE,93.86
2017/1/1 14:05,SE,83.98
2017/1/1 14:10,RE,115
2017/1/1 14:15,SE,786.31
2017/1/1 14:20,SE,228.7
2017/1/1 14:25,SE,408.04
2017/1/1 14:30,SE,281.58
2017/1/1 14:35,SE,283.78
2017/1/1 14:40,SE,437.52
2017/1/1 14:45,SE,330.44
2017/1/1 14:50,SE,485.1
2017/1/1 14:55,SE,187.72
2017/1/1 15:00,SE,187.72
2017/1/1 15:05,SE,556.09
2017/1/1 15:10,SE,776.43
2017/1/1 15:15,SE,449.81
2017/1/1 15:20,SE,177.84
2017/1/1 15:30,SE,140.53
2017/1/1 15:35,SE,300.35
2017/1/1 15:40,SE,93.86
2017/1/1 15:45,SE,644.18
2017/1/1 15:50,SE,128.62
2017/1/1 15:55,SE,78.05
2017/1/1 16:05,SE,736.23
2017/1/1 16:10,SE,243.52
2017/1/1 16:15,SE,210.68
2017/1/1 16:20,SE,
2017/1/1 16:25,SE,385.53
2017/1/1 16:30,SE,613.55
2017/1/1 16:35,SE,247.02
2017/1/1 16:40,SE,78.05
2017/1/1 16:45,SE,93.86
2017/1/1 16:50,SE,293.7
2017/1/1 16:55,SE,498.94
2017/1/1 17:00,SE,93.86
2017/1/1 17:05,SE,419.87
2017/1/1 17:10,SE,565.95
2017/1/1 17:15,SE,308.71
2017/1/1 17:20,SE,268.86
2017/1/1 17:30,SE,638.51
2017/1/1 17:35,SE,197.41
2017/1/1 17:40,SE,281.58
2017/1/1 17:45,SE,281.58
2017/1/1 17:55,SE,78.05
2017/1/1 18:00,SE,93.86
2017/1/1 18:05,SE,191.78
2017/1/1 18:15,SE,479.61
2017/1/1 18:20,SE,386.67
2017/1/1 18:25,SE,93.86
2017/1/1 18:30,SE,436.29
2017/1/1 18:35,SE,156.85
2017/1/1 18:40,SE,483.49
2017/1/1 18:45,SE,265.37
2017/1/1 18:50,SE,360.01
2017/1/1 18:55,SE,500.5
2017/1/1 19:00,SE,344.43
2017/1/1 19:05,SE,196.35
2017/1/1 19:10,SE,435.34
2017/1/1 19:15,SE,913.13
2017/1/1 19:20,SE,652.08
2017/1/1 19:25,SE,93.86
2017/1/1 19:30,SE,432.17
